q_soc,q_vrc,r,mae,rmse,bias,nis_mean,nis_median,nis_exceed_3_84,nis_exceed_6_63,n_samples,score
1e-09,1e-05,0.0001,0.0019010358944997765,0.0025521979541122215,-0.0012314208123349764,0.04893945704762268,0.01719487307407487,0.0,0.0,93426,1.2062803383635994
1e-06,3e-06,0.001,0.0010256143070369924,0.0021159113796835843,-0.0003037947436786975,0.003630006067738387,0.0005287289885550535,0.0,0.0,93426,1.20796113190062
1e-08,1e-06,0.0001,0.0020241030728954325,0.002774395138217986,-0.0004954757957744318,0.0703521720374241,0.024832917956679305,0.0015734378010403957,0.0010703658510478882,93426,1.2089444265359426
1e-06,1e-06,0.001,0.001034703233720261,0.0021484307293429456,-0.0003034453634495157,0.0037630800127674328,0.0005418090744267562,0.0,0.0,93426,1.211079992921527
1e-07,3e-06,0.0003,0.0014273146103430036,0.0022658594288242693,-0.00037922799904260824,0.014997758020349177,0.0038886380970069843,0.00044955365744011303,0.0,93426,1.2118129616907978
1e-06,1e-07,0.001,0.0010394757388053754,0.002164005414605008,-0.0003031948691973174,0.003828439735304251,0.0005482625251582002,0.0,0.0,93426,1.2125721017251965
5e-07,1e-05,0.001,0.0012679433026263974,0.0021962015278395326,-0.0003758798343534013,0.004127032457664001,0.000860574074518045,0.0,0.0,93426,1.2154931203262893
1e-07,3e-05,0.001,0.0016622629801064158,0.002304560561694461,-0.0006381199428856196,0.004553992248051541,0.001493345197794716,0.0,0.0,93426,1.2259020639213947
1e-07,1e-06,0.0003,0.0015025353878362177,0.002433502915168451,-0.0003826572749552977,0.017705190640598868,0.004335509174095271,0.0007813670712649584,0.0,93426,1.2260357844118788
5e-07,3e-06,0.001,0.0013189585806345696,0.0023416838897346026,-0.0003761856565683774,0.00479293860374186,0.0009350887235734344,0.0,0.0,93426,1.2293754503697185
1e-08,1e-07,0.0001,0.0024396502193973478,0.0033603797478672193,-0.0005198609518608887,0.10821876581354475,0.03757916659356718,0.0019266585318861986,0.0015199195084880013,93426,1.2303024577476083
1e-09,3e-06,0.0001,0.0024748341742187006,0.003210616604931421,-0.0013238975533979153,0.08926680335644117,0.03977985134432488,4.281463404191553e-05,0.0,93426,1.2318162644537218
1e-07,1e-07,0.0003,0.0015425946574685932,0.002527491295217785,-0.0003845590991970017,0.019360397069344736,0.004571874990832536,0.0008884036563697471,0.0,93426,1.2338329342806185
5e-07,1e-06,0.001,0.0013363879037095285,0.002391363620520492,-0.00037591059347840723,0.0050363521104553905,0.0009566553137126417,0.0,0.0,93426,1.2341000099415937
1e-08,1e-05,0.0003,0.0019338996636242218,0.0025482828762714016,-0.0008660617532471851,0.018522709457160173,0.007458662539978228,0.0,0.0,93426,1.23630557816998
5e-07,1e-07,0.001,0.0013450472413384913,0.002415567811334608,-0.00037565355578562243,0.005158605645390485,0.0009702632638227518,0.0,0.0,93426,1.2363981754880702
1e-09,1e-07,0.0001,0.004816592079213107,0.006127930551476414,-0.0012779154916883896,0.36898359746322473,0.1435741350484469,0.0031468756020807914,0.0014985121914670434,93426,1.246881407676924
1e-09,1e-06,0.0001,0.0031824193022298524,0.004119970519756654,-0.0013296293107463843,0.15771102835950002,0.0687348060328139,0.0013379573138098601,0.0004067390233981975,93426,1.2553617412964684
1e-07,1e-05,0.001,0.0020679253369980987,0.0028718593765304583,-0.000623351973573802,0.00754058188210975,0.002512314278266664,0.0,0.0,93426,1.2796453557709362
1e-08,3e-06,0.0003,0.002579619202331431,0.0033919225252060426,-0.000816958473586933,0.035467891848595966,0.013095722408827356,0.0,0.0,93426,1.3037243606720081
1e-09,3e-05,0.0003,0.002321301087441898,0.003312314442873648,-0.0017104483531724852,0.027496141482596347,0.006983069465909437,0.0,0.0,93426,1.3037353028047685
1e-07,3e-06,0.001,0.002372016757111198,0.00329462196270604,-0.0006264739193198353,0.010264826629884198,0.003435263982805379,0.0,0.0,93426,1.3191973696407198
1e-08,3e-05,0.001,0.0025815806741875964,0.0033357693844045452,-0.0015545502217003766,0.009638362743800727,0.004415380825405936,0.0,0.0,93426,1.323938575696654
1e-07,1e-06,0.001,0.0024965544920548593,0.0034735313546044293,-0.0006303877811465728,0.0115598401842044,0.0038258470286321915,0.0,0.0,93426,1.3357932952762386
1e-07,1e-07,0.001,0.0025613703469031606,0.0035692921891371213,-0.0006330054539749174,0.012291803692814603,0.004037697539578928,0.0,0.0,93426,1.3446374152208975
1e-09,1e-05,0.0003,0.003028372002784876,0.004060902474220319,-0.0019832507333318243,0.047210462044119376,0.016853277468993275,0.0,0.0,93426,1.3588797853779124
1e-08,1e-06,0.0003,0.0031828762968643142,0.00413265761723691,-0.0008077842088632635,0.054566964210672336,0.02104471153621651,0.000717145120202085,0.0,93426,1.3590573700731197
1e-08,1e-05,0.001,0.0032443268004520042,0.004209184028795541,-0.0015087829789275046,0.016458045863407218,0.0071816456757469085,0.0,0.0,93426,1.404460357016147
1e-08,1e-07,0.0003,0.0037500578323481863,0.004825401125376345,-0.0008256496872695686,0.07619563727328975,0.030872188845236993,0.0010168475584954938,0.00029970243829340867,93426,1.4071526014818858
1e-09,3e-06,0.0003,0.003987798434483815,0.0051510796902684425,-0.002195183960786935,0.08229435111146412,0.037981837087962766,0.0,0.0,93426,1.43281361791538
1e-09,1e-06,0.0003,0.004973168904301832,0.006377154668204086,-0.002250692982863259,0.13096886178728803,0.06128342072761333,0.00033181341382484535,0.0,93426,1.5069125117400328
1e-08,3e-06,0.001,0.00417081668531644,0.005362583719636408,-0.0014502685300816398,0.027783987848248197,0.010643176455646216,0.0,0.0,93426,1.5084743841153925
1e-09,3e-05,0.001,0.003866201949585141,0.0055237364529496565,-0.0028641305736203325,0.02646300456657642,0.006744887558581963,0.0,0.0,93426,1.5259106407283891
1e-08,1e-06,0.001,0.004869495073350089,0.006188895938087087,-0.00142730578398007,0.037615840487143504,0.014574649910874829,0.0,0.0,93426,1.581273753321565
1e-09,1e-07,0.0003,0.006440263315869323,0.00819734682922604,-0.0022183045068537143,0.22210656389851863,0.09007041536062185,0.0015199195084880013,0.0002782951212724509,93426,1.5986663738996016
1e-08,1e-07,0.001,0.005407797508971632,0.006814258279115618,-0.0014232551958535244,0.046028267606365136,0.01858877127538846,0.0,0.0,93426,1.6353975603051967
1e-09,1e-05,0.001,0.005109874963878322,0.006866609088452508,-0.0034080993007805692,0.04390199573872077,0.015541880341763965,0.0,0.0,93426,1.64275891310653
1e-09,3e-06,0.001,0.006526335569087313,0.008429695364711404,-0.0038221764932287986,0.06888638153042638,0.03133054895775053,0.0,0.0,93426,1.7740831549407141
1e-09,1e-06,0.001,0.007558830064843629,0.009651954112823994,-0.003982974096114397,0.09184932438839172,0.045256532606272715,0.0,0.0,93426,1.8733460868940077
1e-09,1e-07,0.001,0.00843582428856357,0.01072838133538958,-0.004047714701096396,0.11458476268452886,0.0567053026214772,0.0,0.0,93426,1.958253370854429
